,nose_x,nose_y,nose_z,r_ear_x,r_ear_y,r_ear_z,theta_l,theta_r,l_ear_x,l_ear_y,l_ear_z,pitched_down
723,305.50140392645824,353.69834036368024,160.54081963676265,329.46221258432035,291.76883878719246,225.241846647667,4.319036877290292,1.4457192134209114,278.4547352688019,284.8887576263878,215.92837834224903,0.0
724,306.45365204008226,354.0294706802614,161.2974451082013,329.9310416009771,291.74107230741697,225.6221165983135,4.313209976705942,1.429957777777174,278.86240574496884,285.2412487402461,216.2942389308698,0.0
725,307.4513032011779,354.34629206259996,162.05183291361527,330.40055153156175,291.68860610124585,226.01247433933395,4.308424167620503,1.4112864230004838,279.2622768702867,285.5928978076205,216.66653674096554,0.0
726,308.43144303976186,354.6428271530162,162.78517274562807,330.8664170779464,291.5850894130152,226.4156761879688,4.304296019685423,1.3922979210040989,279.6694529975808,285.9212450898918,217.06864258399233,0.0
727,309.39415563948336,354.9154547337678,163.49723155800385,331.35717986536343,291.49598050619284,226.8458431523203,4.302151680570812,1.3739008556790098,280.0810011711055,286.2603830535611,217.4850077904699,0.0
728,310.3855988971488,355.17704601039844,164.18612447171634,331.85916017148895,291.3940362408035,227.29172703227366,4.3015149819906116,1.3567238694596366,280.48803104881426,286.56948698110335,217.90350622445496,0.0
729,311.36281822905573,355.42858567694674,164.84676587250274,332.3333547902609,291.28536326360694,227.7606753997473,4.302266772042937,1.3409929257933597,280.9164176160171,286.90204737223905,218.34480142200414,0.0
730,312.3639771261513,355.66242914840205,165.53054058251988,332.8458717354593,291.173511917046,228.11093849869422,4.305079553805645,1.3272762744161666,281.3383861766326,287.23721791596483,218.77116920478952,0.0
731,313.30678493189106,355.9356281565522,166.20845911912787,333.35403065303336,291.0893354396203,228.46863549082298,4.3090231278132,1.3154557413131918,281.76322894311744,287.56090973697684,219.20363768539187,0.0
732,314.24485983249616,356.1887988757094,166.89972845062408,333.8461791730911,290.975831892866,228.83408746901372,4.3149592715492515,1.30618521396974,282.1854799812366,287.860740662931,219.64382942301214,0.0
733,315.18367878224376,356.4404153564099,167.61094293308213,334.3232843208068,290.87164159751995,229.214673175642,4.324087528178055,1.3003525382465382,282.56589055194394,288.1491631565138,220.02282594681802,0.0
734,316.1184984090274,356.7250099855375,168.3385999017893,334.78989394140297,290.78341394313,229.60771865647715,4.336573292296619,1.2987217713884425,282.93567574712245,288.4451080544375,220.40178505853027,0.0
735,317.0114174419195,357.0085463905927,169.10803358358447,335.23928831636385,290.7455488326571,230.00201135638778,4.350839058273376,1.3020135716472498,283.3126049501364,288.73001840421165,220.7725341533995,0.0
736,317.84400780114606,357.32345250725433,169.86954180562486,335.67413490905176,290.73056797265065,230.41641103157215,4.366947698124635,1.3106485913064025,283.6840759420709,289.0120151314771,221.15281475958443,0.0
737,318.6592750393911,357.6736234796019,170.66927123974043,336.09038737923964,290.71205078112797,230.8312787743066,4.381511674635036,1.3238823496813665,284.0676348634277,289.28626785225845,221.54476873750113,0.0
738,319.4540165805992,357.9453626524241,171.5410870438035,336.5128653648875,290.6849348017179,231.25752288245698,4.393543840785968,1.341475310137972,284.44143609076536,289.5620593648091,221.93209053449112,0.0
739,320.2279950509911,358.26069557934426,172.41061631260928,336.9348947465621,290.6566263243483,231.69811434392287,4.4018185648692985,1.3622572791515484,284.8275180778457,289.8424871648955,222.33550192159,0.0
740,320.9755120337883,358.59891759456104,173.3106405304319,337.3386042881762,290.63543424101863,232.13677494206075,4.4070117362494905,1.3854137798406327,285.21769661330757,290.14031086567155,222.76060726509684,0.0
741,321.6817999167892,358.92793363376137,174.1980675239529,337.73941989269684,290.64733629224395,232.5874061759894,4.408871373965896,1.4099037250101256,285.59294843382685,290.446859031376,223.21014258173614,0.0
742,322.390644439579,359.2770815155004,175.10684250368084,338.12569031782084,290.65507754596274,233.04633916443828,4.408968196961608,1.4346650768810638,285.9557056173606,290.7705966612497,223.67559251602808,0.0
743,323.0740684915108,359.6659947754883,175.9994513065544,338.4611414347733,290.6572342152311,233.50338468452227,4.407553013757838,1.459610539429101,286.2866544948378,291.1088094315604,224.1437817522978,0.0
744,323.74709474057397,360.0279320417743,176.87259843968027,338.79737601875433,290.700403342471,233.97614031202204,4.404573211459653,1.483389680267962,286.5856455143521,291.4348287224384,224.6284922326974,0.0
745,324.3551805781932,360.4232529119798,177.76995845514193,339.1194153408135,290.71899789035723,234.4658589486875,4.400001239384937,1.5056091019591982,286.86753553600715,291.7547937250924,225.10156832678956,0.0
746,324.91793348763014,360.8433616814482,178.6526833231844,339.5465472152241,290.80950938602655,235.08665621832893,4.393794382229557,1.52593217848232,287.1453625316566,292.0785677826549,225.5737913489025,0.0
747,325.45742486634845,361.26636053499664,179.53565946011483,339.90623794565954,290.87812914917725,235.72455240363254,4.387333493035339,1.5449295424349725,287.39684965850705,292.3941917661956,226.03734694943512,0.0
748,325.97248253352154,361.6954600026516,180.3927040407516,340.2191898637522,290.9542531536341,236.3937947619591,4.381191435524656,1.5628394548539044,287.6383324133943,292.6877891214996,226.52301180622314,0.0
