,nose_x,nose_y,nose_z,r_ear_x,r_ear_y,r_ear_z,theta_l,theta_r
1376,387.92874839853863,395.95695159367745,325.89214064183375,388.52044036608754,311.46223371287965,337.5542627975305,4.459032672323204,1.9047328664727263
1377,388.09650076385566,395.92690436381594,326.43738822925104,388.66421064962213,311.3762984673915,338.03636790123363,4.459163621585989,1.89831232382883
1378,388.25927156785576,395.8863057685425,327.0374293871211,388.84754297059493,311.2770232606219,338.48709359212944,4.456318052349103,1.8944421905014517
1379,388.43486669754674,395.86508901373765,327.59634549656676,389.0264878791063,311.1771641871165,338.90428340361245,4.451057713173364,1.892793882691644
1380,388.6124279323164,395.8625454962576,328.19654025044906,389.1614433257745,311.0980639538868,339.3007582987059,4.444534876981078,1.8919478651944015
1381,388.808566974439,395.87971583905755,328.8337954295677,389.29214143019993,311.0403869111972,339.69714853843743,4.436965124087294,1.8925107561657653
1382,389.01956165640684,395.91734081892537,329.4175067697586,389.3412754469351,310.97400018919603,340.1239570341097,4.428659847368067,1.8944711141372579
1383,389.194479274075,395.9346959001389,330.03664613875986,389.4199322118243,310.9278277999034,340.53314540722135,4.420347971685521,1.8975110352377467
1384,389.3872830384825,395.97318830719433,330.64791225116954,389.50402016594165,310.91717557903104,340.9300717213916,4.411932670343493,1.9015374703595471
1385,389.5731919283112,395.99239911020084,331.2251954077296,389.6043707094159,310.9225087483362,341.2966079857812,4.4026794694760945,1.9055461339125472
1386,389.76719030602754,396.00393056974775,331.7842929248471,389.7151830672733,310.94860436269727,341.6255855238175,4.393029190126594,1.9092082975029636
1387,389.90783568810645,396.0150806232167,332.3025108074608,389.81010737641805,310.9812671387161,341.9108783112584,4.3828515935303525,1.9126890377794874
1388,390.0253795930475,396.0092947641705,332.7914251543879,389.9269734289243,310.9850844997988,342.1874243003307,4.37165016981757,1.9154116553174774
1389,390.17291251641353,395.98602652565916,333.23319408012856,390.0089310561565,311.04789737632206,342.4554803866308,4.360624139852993,1.9186263708665552
1390,390.3199900164562,396.00710158277565,333.60065903434446,390.1107691098016,311.06194367845677,342.7023931337967,4.349288328532662,1.9229007989992053
1391,390.4884838911881,396.0077983595259,333.89865331669483,390.22046449168556,311.07383907123057,342.95442579226795,4.336907245075472,1.9285202550118017
1392,390.6917532607053,396.02123248713934,334.1434076719704,390.3349008206794,311.11455121181757,343.1682282680107,4.323494416004594,1.9348520667732898
1393,390.83847461313735,396.06919112783424,334.2219503047506,390.48797424842974,311.14004749925584,343.33227999381995,4.309742819719776,1.9419708273859908
1394,391.00348503307873,396.1386191374978,334.253639561441,390.60031403245955,311.18908566452274,343.4929668657755,4.294278884178976,1.9476195234480265
1395,391.1869827733206,396.21669381294686,334.22743683900256,390.7146366369659,311.259345740613,343.6423449634689,4.277458149566869,1.9522945432248764
1396,391.4344824301325,396.2676467986555,334.01942047976814,390.7326576913479,311.32830168709853,343.78586193429277,4.261130143720228,1.955516571825957
1397,391.7126662220053,396.3149541187919,333.73879869237965,390.808436128339,311.4124395337409,343.90408923778745,4.245511685623654,1.9574360119559733
1398,392.00949202181965,396.33352556779323,333.3339652549904,390.8802305953832,311.46506712478026,343.98810987270184,4.230924980652141,1.9572751229936876
1399,392.3119514053962,396.3365791932612,332.8305320772952,390.95575718011884,311.53235806888574,344.0571484411188,4.218221672573166,1.9541161590520923
1400,392.76583678974106,396.3423506098206,332.2931888019996,391.0186199586553,311.6312128246107,344.0563055761472,4.208592087080021,1.9476624340328288
1401,393.24324455602516,396.35628281163366,331.6194633226697,391.0721522464558,311.75745983381734,344.00777153017265,4.2011952568206965,1.93622549277867
1402,393.72173634792483,396.35410271959483,330.88766047188676,391.22246561348385,311.83890832498605,343.8114737901426,4.198450822053837,1.9191052879659107
1403,394.2540452068179,396.25722827356134,330.0439628475014,391.416695456703,311.93250095639144,343.5322474526668,4.200623310757479,1.897323532298914
1404,394.819922920813,396.21659305501566,329.2315904230777,391.6285208860556,312.0368777835543,343.1978452634186,4.208999816749177,1.8710458140895678
1405,395.38318938008604,396.2916294759054,328.21231556074565,391.8065742499813,312.09862466160894,342.8698551858041,4.2242148159245065,1.8410893115446967
1406,395.96419495904325,396.3413838360292,327.2034488644856,391.99926842345366,312.201600806384,342.53178660210585,4.247053819277552,1.8093888121649284
1407,396.5692820173945,396.4213882876675,326.18406065118927,392.1812029494075,312.2929667779806,342.3314920013839,4.275188796528879,1.776682560318326
1408,397.16479442245657,396.5134919601375,325.2264151196819,392.3627239392453,312.3878754303146,342.1027456324166,4.307803317148845,1.7428400058545563
1409,397.76038843904746,396.5589342942134,324.3190766147285,392.54943410460356,312.48262720912453,341.8458561377698,4.343210956460807,1.7106803318319532
1410,398.3595781628013,396.61052320767783,323.45942921420254,392.7139655929614,312.6150233341519,341.58726463271745,4.378780356360738,1.6794169600418793
1411,398.89880594254345,396.62055928603877,322.6383607731102,392.93073545303787,312.72697166919716,341.3139122845246,4.413009653664491,1.6497770199696475
1412,399.46387356622614,396.6039781981164,321.84148674621906,393.14453165007484,312.8377516317368,340.9898726992605,4.445037813216634,1.624284600813064
1413,400.0429215923038,396.5854228737601,321.0460907764283,393.3548287877886,312.9346505503428,340.65495449495296,4.473626710456733,1.6042169887696875
1414,400.634494371862,396.50535084827703,320.28598512729906,393.5573995939301,313.00567404765394,340.2899962936354,4.499084437983046,1.5898143430497145
1415,401.2222933923141,396.3859966891414,319.6473614227664,393.7844724228066,313.05820148257584,339.8866052817529,4.521530068657892,1.582031078400934
1416,401.78530617244553,396.25652232269783,319.13691909533617,394.02343758340646,313.1145112799724,339.4836153928878,4.541262830772819,1.5808950003178317
1417,402.3397791906305,396.16167236486433,318.72767081573636,394.2575965228173,313.2582265226391,339.0840021946336,4.557712965724163,1.585216456249351
1418,402.8696947001183,396.12845824600583,318.3218592422281,394.4144725865664,313.42800748006977,338.658066273624,4.570263200378068,1.5937576582773052
1419,403.4195633528371,396.0914375897367,317.8851360665636,394.5774347870326,313.60107982417566,338.2488328396797,4.578390405218937,1.6052847712132305
1420,403.99216734491193,396.05152831667124,317.50081549537873,394.76136276498084,313.6880857116418,337.8416315705572,4.582278425063242,1.6190980658739527
1421,404.58015047715094,396.00667409181386,317.1325516959037,394.975258814966,313.7818601404026,337.4233861718334,4.582251914564654,1.6352103516660772
1422,405.1773803446566,396.01692766212096,316.747520356614,395.2249035270362,313.8858465486742,336.9859704513464,4.578745936808879,1.6523263319061237
1423,405.77226645825226,396.010149319844,316.36138399231686,395.4629362707839,313.9692864273539,336.5417683930774,4.572393352912537,1.6706833802917587
1424,406.3833999531991,396.01594124392165,315.9793399193821,395.7337921641394,314.066688024981,336.06901731292413,4.563248741058559,1.6907669834243864
