scorer,DeepCut_resnet50_frontMar14shuffle1_1015000,DeepCut_resnet50_frontMar14shuffle1_1015000,DeepCut_resnet50_frontMar14shuffle1_1015000,DeepCut_resnet50_frontMar14shuffle1_1015000,DeepCut_resnet50_frontMar14shuffle1_1015000,DeepCut_resnet50_frontMar14shuffle1_1015000,DeepCut_resnet50_frontMar14shuffle1_1015000,DeepCut_resnet50_frontMar14shuffle1_1015000,DeepCut_resnet50_frontMar14shuffle1_1015000,DeepCut_resnet50_frontMar14shuffle1_1015000,DeepCut_resnet50_frontMar14shuffle1_1015000,DeepCut_resnet50_frontMar14shuffle1_1015000,DeepCut_resnet50_frontMar14shuffle1_1015000,DeepCut_resnet50_frontMar14shuffle1_1015000,DeepCut_resnet50_frontMar14shuffle1_1015000
bodyparts,nose,nose,nose,l_ear,l_ear,l_ear,r_ear,r_ear,r_ear,l_eye,l_eye,l_eye,r_eye,r_eye,r_eye
coords,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood
52,330.5483957529068,311.9500479698181,0.9999986886978149,338.2192851305008,239.64143800735474,0.9999740123748779,290.2446793317795,241.70091938972473,0.9999934434890747,338.51466608047485,266.76485323905945,1.0,303.186799287796,267.41657304763794,1.0
53,330.84770131111145,312.33910751342773,0.9999985694885254,338.4057765007019,240.17985701560974,0.9999819993972778,290.56206357479095,241.9858648777008,0.9999946355819702,338.83162474632263,266.95201098918915,1.0,303.4722616672516,267.7051417827606,1.0
54,331.24834156036377,312.43339824676514,0.9999985694885254,338.8869651556015,240.5571985244751,0.9999866485595703,290.79780638217926,242.1705104112625,0.9999948740005493,339.5657117962837,267.6082908809185,1.0,304.1659016609192,267.93339692801237,1.0
55,331.77032577991486,312.7256155014038,0.9999983310699463,339.22294485569,240.74972653388977,0.9999878406524658,291.4893045425415,242.18920469284058,0.9999960660934448,339.81338757276535,267.79445987939835,1.0,304.5671195983887,268.0682500600815,1.0
56,332.3551645576954,312.8711128234863,0.9999980926513672,340.0369072109461,241.09775137901306,0.9999895095825195,292.02513946965337,242.50842344760895,0.999996542930603,341.0635339021683,268.2047409117222,1.0,305.75072026252747,268.0311098676175,1.0
57,333.0736757516861,313.34474086761475,0.9999969005584717,340.4461480677128,241.28349447250366,0.9999896287918091,292.2866778373718,242.63651323318481,0.9999970197677612,341.4758573770523,268.35752534866333,1.0,306.45774483680725,268.3564578294754,1.0
58,333.78752636909485,313.73485946655273,0.9999961853027344,341.3479287624359,241.30972146987915,0.999988317489624,293.1208646297455,242.79787969589233,0.9999967813491821,342.20293283462524,268.50811153650284,1.0,306.9128831624985,268.63452130556107,1.0
59,333.494460105896,314.21167397499084,0.9999966621398926,341.91066098213196,241.48339295387268,0.9999866485595703,293.48395681381226,243.19864678382874,0.9999961853027344,342.8172116279602,268.7710372209549,1.0,307.7995211482048,269.26709604263306,1.0
60,334.38719606399536,314.9151142835617,0.9999983310699463,342.6635637283325,241.68404483795166,0.9999854564666748,293.86502635478973,243.22568535804749,0.9999957084655762,343.7373118400574,269.3691781759262,1.0,308.1764661669731,269.6189863681793,1.0
61,335.0825719833374,315.46096593141556,0.9999986886978149,343.2967281341553,241.92106986045837,0.9999834299087524,294.55332112312317,243.3159551024437,0.9999942779541016,344.618634223938,269.74600899219513,1.0,308.9803065061569,269.912979722023,1.0
