scorer,DeepCut_resnet50_topMar19shuffle1_1030000,DeepCut_resnet50_topMar19shuffle1_1030000,DeepCut_resnet50_topMar19shuffle1_1030000,DeepCut_resnet50_topMar19shuffle1_1030000,DeepCut_resnet50_topMar19shuffle1_1030000,DeepCut_resnet50_topMar19shuffle1_1030000,DeepCut_resnet50_topMar19shuffle1_1030000,DeepCut_resnet50_topMar19shuffle1_1030000,DeepCut_resnet50_topMar19shuffle1_1030000,DeepCut_resnet50_topMar19shuffle1_1030000,DeepCut_resnet50_topMar19shuffle1_1030000,DeepCut_resnet50_topMar19shuffle1_1030000,DeepCut_resnet50_topMar19shuffle1_1030000,DeepCut_resnet50_topMar19shuffle1_1030000,DeepCut_resnet50_topMar19shuffle1_1030000
bodyparts,nose,nose,nose,l_ear,l_ear,l_ear,r_ear,r_ear,r_ear,l_eye,l_eye,l_eye,r_eye,r_eye,r_eye
coords,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood
54,332.8314420580864,341.94216907024384,1.0,319.07043743133545,388.3139549791813,0.9999991655349731,373.16507709026337,385.69439363479614,0.9999996423721313,320.77148485183716,371.39246737957,1.0,362.073912858963,368.92976570129395,1.0
55,332.5239369869232,340.79438734054565,1.0,319.0873591899872,386.1782714128494,0.999998927116394,372.45088106393814,384.2973928451538,0.9999994039535522,320.63762044906616,370.6391296386719,1.0,361.55541133880615,367.72431564331055,1.0
56,332.2559774816036,339.8866091147065,1.0,318.8289029598236,383.98014068603516,0.9999979734420776,372.3193883597851,382.67758774757385,0.9999997615814209,320.2953872680664,369.28623485565186,1.0,361.51420497894287,366.4488582611084,1.0
57,332.0299186948687,338.875589966774,1.0,318.45808601379395,382.3846502304077,0.9999933242797852,372.2765571475029,381.5311111211777,0.9999998807907104,320.1440210342407,367.98841547966003,1.0,361.392128944397,365.13244128227234,1.0
58,331.47342562675476,337.8534805774689,1.0,318.57797622680664,381.884717464447,0.9999942779541016,371.96162233129144,380.58665108680725,0.9999998807907104,320.1322009563446,366.75817108154297,1.0,361.70861768722534,364.2335329055786,1.0
59,331.2220701575279,336.66092443466187,1.0,318.58330821990967,379.91300651431084,0.9999940395355225,371.8589509278536,378.9491481781006,0.9999997615814209,320.08628964424133,365.4339406490326,1.0,361.2474133968353,362.2744936943054,1.0
60,331.0707355737686,335.14029240608215,0.9999998807907104,318.63070011138916,378.1922655105591,0.9999921321868896,371.77573315799236,377.5207862854004,0.9999996423721313,319.5388255119324,363.98573844879866,1.0,361.0262532234192,360.9391784667969,1.0
61,331.13803774118423,333.565554022789,1.0,319.40364027023315,377.4390187263489,0.9999923706054688,371.3976799249649,375.3867275714874,0.9999992847442627,319.50087451934814,362.64659464359283,1.0,360.5712661743164,359.5575761795044,1.0
62,330.84435498714447,332.27952763438225,1.0,319.60612392425537,376.33631801605225,0.9999929666519165,371.67078387737274,373.9979190826416,0.9999996423721313,319.1813530921936,361.2978563308716,1.0,360.19716119766235,358.1123962402344,1.0
63,330.09769678115845,331.495325088501,0.9999998807907104,319.45484352111816,374.91023325920105,0.9999916553497314,371.6542512476444,372.9575139284134,0.9999997615814209,319.0474190711975,360.02797269821167,1.0,359.9705123901367,356.8014671802521,1.0
