scorer,DeepCut_resnet50_leftMar14shuffle1_1030000,DeepCut_resnet50_leftMar14shuffle1_1030000,DeepCut_resnet50_leftMar14shuffle1_1030000,DeepCut_resnet50_leftMar14shuffle1_1030000,DeepCut_resnet50_leftMar14shuffle1_1030000,DeepCut_resnet50_leftMar14shuffle1_1030000,DeepCut_resnet50_leftMar14shuffle1_1030000,DeepCut_resnet50_leftMar14shuffle1_1030000,DeepCut_resnet50_leftMar14shuffle1_1030000,DeepCut_resnet50_leftMar14shuffle1_1030000,DeepCut_resnet50_leftMar14shuffle1_1030000,DeepCut_resnet50_leftMar14shuffle1_1030000,DeepCut_resnet50_leftMar14shuffle1_1030000,DeepCut_resnet50_leftMar14shuffle1_1030000,DeepCut_resnet50_leftMar14shuffle1_1030000
bodyparts,nose,nose,nose,l_ear,l_ear,l_ear,r_ear,r_ear,r_ear,l_eye,l_eye,l_eye,r_eye,r_eye,r_eye
coords,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood
2017,301.7930921316147,136.98174381256104,0.9999995231628418,383.4248311519623,118.35254859924316,0.9999139308929443,346.2889881134033,111.8228702545166,0.9894579648971558,353.5289237499237,124.30732229351997,1.0,327.9913170337677,118.18926644325256,0.010502575896680355
2018,301.8035361766815,136.75234699249268,0.9999996423721313,383.51056003570557,118.36943316459656,0.9998947381973267,344.32255029678345,111.43899154663086,0.9857556223869324,353.85780358314514,124.19191659986973,1.0,378.88249683380127,111.38259482383728,0.010132080875337124
2019,301.9177716970444,136.47359609603882,0.9999996423721313,383.447313785553,118.47006297111511,0.9998860359191895,344.2565722465515,111.7436089515686,0.9916732907295227,353.92494320869446,124.29128211736679,1.0,379.18816471099854,111.46641087532043,0.010535730049014091
2020,301.93410062789917,136.58997011184692,0.9999996423721313,383.8284306526184,118.40588164329529,0.999890923500061,344.3767900466919,111.50519180297852,0.9929143190383911,353.77854776382446,124.02712441794574,1.0,378.7960386276245,111.55622148513794,0.010184015147387981
2021,302.16266560554504,136.81855154037476,0.9999995231628418,383.68288469314575,118.25792932510376,0.9999058246612549,344.2343134880066,111.21065902709961,0.9929770827293396,353.8557393550873,123.6429423391819,1.0,378.86810302734375,111.22421646118164,0.00919321645051241
2022,302.28198051452637,137.00156927108765,0.9999995231628418,383.8198127746582,118.33059549331665,0.9999042749404907,344.0169048309326,111.28899145126343,0.9950426816940308,353.8669469356537,123.6558580994606,1.0,378.996874332428,111.10241222381592,0.00803618598729372
2023,302.2234604358673,136.94688367843628,0.9999995231628418,383.92530632019043,118.42085289955139,0.9999045133590698,345.10624504089355,110.76265382766724,0.9920863509178162,354.20787489414215,123.6384941637516,1.0,378.75121545791626,111.31425404548645,0.008842213079333305
2024,302.306866645813,137.04718208312988,0.9999995231628418,383.9364929199219,118.58386135101318,0.9998958110809326,346.1300718784332,111.87270307540894,0.9920898675918579,354.51832926273346,123.89552068710327,1.0,379.25635862350464,111.8622829914093,0.010931531898677349
2025,302.720899105072,137.33256220817566,0.9999996423721313,383.97759461402893,118.70012617111206,0.9998732805252075,346.0061340332031,112.12683749198914,0.9907606840133667,354.4957091808319,123.99009318463504,1.0,379.15137672424316,111.99795579910278,0.014367188327014446
2026,302.2830584049225,136.96552276611328,0.9999996423721313,383.9279034137726,118.6089346408844,0.9998756647109985,346.89147436618805,111.80171585083008,0.9974653720855713,354.9081701040268,124.17819276452065,1.0,329.91436100006104,117.89209043979645,0.010887580923736095
2027,303.4389429092407,138.55551958084106,0.9999997615814209,384.0163826942444,118.75038576126099,0.9998606443405151,347.1476037502289,112.2234628200531,0.9963510036468506,355.0768954753876,124.2491347938776,1.0,380.4443578720093,111.59911942481995,0.009570647962391376
2028,303.6618447303772,138.92433989048004,0.9999997615814209,384.24516010284424,118.79409003257751,0.9997984766960144,347.5646157860756,112.35297727584839,0.9951083064079285,354.86087131500244,124.36888921260834,1.0,380.50667095184326,111.93894839286804,0.012677603401243687
2029,303.70361709594727,139.2743585705757,0.9999998807907104,383.9183361530304,118.73728442192078,0.9998210072517395,347.75442066788673,112.08859729766846,0.9988526105880737,354.9531819820404,124.58521807193756,1.0,380.96055603027344,111.4858603477478,0.009477952495217323
2030,303.9417414665222,139.8593182116747,0.9999998807907104,384.29176092147827,119.15739727020264,0.9997788071632385,348.01750631816685,112.29571223258972,0.998784601688385,354.7414149045944,125.10483944416046,1.0,380.8098039627075,112.00812101364136,0.010836614295840263
2031,303.92495822906494,140.1251913458109,0.9999998807907104,384.35135555267334,119.2849509716034,0.9997698664665222,347.907904908061,112.6204183101654,0.998604953289032,355.0176295042038,125.34959077835083,1.0,381.008581161499,112.31367206573486,0.01210061926394701
2032,304.0137903690338,140.7984001636505,0.9999998807907104,384.6451606750488,119.5474214553833,0.9997914433479309,348.0956769362092,112.9660005569458,0.9992707371711731,354.92967104911804,125.56206786632538,1.0,380.0857660099864,113.48985862731934,0.009370415471494198
